id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1646768,Sunny room in beautiful Bayport,8573634,April,,Washington,45.02131,-92.78364,Private room,49,1,69,2019-01-01,1.91,1,128
1668502,Let me tell you a little more....,8835547,Linda,,Hennepin,44.92186,-93.26534,Private room,89,2,51,2018-10-07,0.87,1,365
1673483,Cozy room,8858671,Carisma,,Hennepin,45.09968,-93.35264,Private room,75,1,0,,,1,365
1717264,Beautiful lake home on Mille Lacs,9054083,James,,Mille Lacs,46.13642,-93.47886,Entire home/apt,240,2,82,2019-02-24,1.78,1,194
1722022,"Metro Oasis, LGBT, baby pack-N-play",9077814,Jai,,Hennepin,44.89473,-93.32829,Private room,75,1,18,2018-08-05,0.32,1,357
1744784,Appealing Midtown Apartment 2 BR,4208173,Salle,,Hennepin,44.94767,-93.24849,Entire home/apt,155,7,11,2018-11-16,0.30,7,244
1785771,Seward Home Near Mississippi,9372172,Cameron,,Hennepin,44.96276,-93.22802,Private room,42,1,86,2019-01-01,1.54,1,186
1789183,Lower Level Garden Apartment,8432798,Patrick,,Hennepin,44.96568,-93.2949,Entire home/apt,100,2,131,2019-01-03,2.01,7,349
1789222,Beautiful Private 3rd Floor Apt.,8432798,Patrick,,Hennepin,44.9681,-93.29185,Entire home/apt,120,3,95,2019-02-01,1.46,7,334
1793966,Sweet Room In Wayzata/Orono area,9262520,Paul,,Hennepin,44.93873,-93.61241,Private room,89,1,1,2016-10-03,0.03,1,364
1807220,Convenient St. Paul location near Colleges,7374035,Sandra,,Ramsey,44.93015,-93.19104,Private room,75,1,108,2018-12-03,1.66,1,357
1836592,Beautiful one bedroom Private 1st Floor Apt,8432798,Patrick,,Hennepin,44.96854,-93.29471,Entire home/apt,120,3,24,2019-01-01,0.38,7,364
1836994,Private Suite Prospect Park U of M Light Rail,9603972,Steve And Tom,,Hennepin,44.96818,-93.20813,Entire home/apt,90,2,255,2019-03-03,4.23,1,136
1840350,Dearing Mansion East Room,6339719,Scott,,Ramsey,44.92907,-93.09341,Private room,85,1,49,2018-10-30,0.78,6,125
1841045,Sweet deal - heart of Twin Cities,1032528,Deborah,,Ramsey,44.95065,-93.17858,Private room,35,2,67,2019-01-04,1.06,3,281
1866074,Edina Gallery House - Katerina Room,9729036,Simona,,Hennepin,44.90512,-93.35664,Private room,40,30,147,2017-12-04,2.26,1,0
1872331,Newly renovated home in Mpls! Great for families!,8632680,Molly,,Hennepin,44.93833,-93.24834,Entire home/apt,114,3,14,2018-12-17,0.66,1,201
1950718,Private Bed&Bath Lovely A&C Bungalow: West End/DT,652839,Kimberly,,Hennepin,44.94417,-93.35372,Private room,64,3,6,2016-10-08,0.13,2,365
1975228,Spacious Corporate Apartment w/ all necessities,10216836,Cheryl,,Hennepin,45.05799,-93.39343,Entire home/apt,55,60,1,2014-09-01,0.02,2,88
1979719,Superbowl 2018 2 BR apartment,10216836,Cheryl,,Hennepin,45.05909,-93.39347,Entire home/apt,400,5,1,2017-07-01,0.05,2,365
1983946,One of a kind store front apartment,2286342,Susan,,Hennepin,44.95847,-93.26899,Entire home/apt,75,2,1,2014-06-30,0.02,2,0
1994835,We've Got A Great House For Your Visit!,10282009,Shelly,,Ramsey,44.92749,-93.09508,Entire home/apt,155,3,48,2018-10-08,0.82,2,213
2011072,THE LIGHT-FILLED HEIDIHOUSE ,1122705,Heidi,,Hennepin,44.96624,-93.24527,Private room,60,2,143,2019-03-02,2.66,3,343
2011843,S&J#29X-6BR2ba 5Buslines!Walk2All!,1207842,Scott & Jenna,,Anoka,45.04286,-93.24862,Entire home/apt,405,2,1,2015-11-14,0.02,34,358
2043050,Cool Warehouse loft,10474028,Jim,,Hennepin,44.98918,-93.27796,Entire home/apt,175,2,122,2019-01-01,1.93,1,347
2117450,"Great Location, Relaxing Space",10487740,Jane,,Washington,44.93892,-92.94325,Private room,45,2,17,2018-02-13,0.65,1,0
2120151,Bike Greenway Bed & Bath,262199,Amber And Keith,,Hennepin,44.95175,-93.21721,Private room,85,2,7,2016-09-01,0.15,1,43
2168802,Historic Bed and Breakfast,11064499,Dave,,Hennepin,44.90024,-93.56669,Private room,119,30,10,2016-05-30,0.17,1,365
2176892,"Powderhorn Park ""Sage Room""",3803914,Jenny,,Hennepin,44.94455,-93.25389,Private room,35,1,61,2018-10-21,1.09,3,34
2203701,Gourmet Kitchen in Kenwood,11243369,Alex,,Hennepin,44.96976,-93.30217,Entire home/apt,269,3,12,2018-09-04,0.20,3,361
2216919,Cozy En Suite room U of M/Downtown/prime location,3460682,Sunit,,Hennepin,44.98444,-93.24436,Private room,45,1,202,2019-02-24,4.23,4,34
2221521,"Sunny Room,U of M and Downtown prime location",3460682,Sunit,,Hennepin,44.98488,-93.2424,Private room,55,1,198,2019-02-15,3.21,4,64
2221587,Quiet Nest in Heart of Minneapolis,1122705,Heidi,,Hennepin,44.9659,-93.24368,Private room,60,2,159,2018-10-28,2.78,3,0
2227164,Comfortable Corporate Apt - underground parking!,5283270,Lisa,,Hennepin,44.89435,-93.42662,Entire home/apt,100,3,3,2019-02-18,1.17,5,0
2260712,Historic Mansion 6BR/4BA Sauna,6339719,Scott,,Ramsey,44.93037,-93.0943,Entire home/apt,675,1,28,2019-02-23,1.28,6,137
2266340,Emma’s Spectacle Lake Home ,11572783,David,,Isanti,45.57124,-93.40412,Entire home/apt,220,7,0,,,2,358
2268111,RIVER FALLS Great choice for St Paul/Hudson area,11549522,Claire,,Pierce,44.84892,-92.63569,Private room,55,1,41,2019-03-03,1.95,1,161
2281236,Large Home on Mississippi River,11650745,Brian,,Hennepin,45.19541,-93.40786,Entire home/apt,375,2,15,2018-10-07,0.26,1,33
2310965,Nice cozy house near Como Park,10294911,Eduardo,,Ramsey,44.98136,-93.13324,Entire home/apt,100,10,15,2018-07-26,0.25,1,217
2329292,NeoEden's Love Room,8562602,Christine,,Hennepin,44.95583,-93.28698,Private room,39,2,21,2018-02-03,0.34,2,291
2356359,Unique home in a great neighborhood,12032844,Douglas,,Ramsey,44.9857,-93.1991,Entire home/apt,115,2,243,2019-02-04,3.99,1,100
2396616,The Cathedral Suite,12243618,Whitney,,Ramsey,44.94655,-93.11327,Private room,99,2,15,2018-10-19,1.03,4,40
2437421,The Storybook Suite,12243618,Whitney,,Ramsey,44.94707,-93.11483,Private room,135,2,8,2018-06-18,0.17,4,70
2442293,Cozy Lower Level near Downtown Minneapolis,11571890,Anna,,Hennepin,44.99789,-93.306,Private room,40,2,1,2018-02-05,0.08,1,50
2452756,Uptown Modern Vintage Getaway,681430,Matthew,,Hennepin,44.94798,-93.29478,Entire home/apt,550,3,22,2018-10-09,0.49,1,353
2461261,Bedroom in family home,12585390,Urban,,Ramsey,44.94293,-93.1499,Private room,80,1,22,2019-02-01,0.39,2,253
2467409,Lovely Uptown Brownstone close to Convention Cntr,12618560,Ericka,,Hennepin,44.96563,-93.27832,Entire home/apt,110,4,38,2018-04-19,0.65,1,0
