id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23075127,Cozy Bungalow • Minutes to all Columbus Events!,129113768,Susie,,North Linden,40.037547642879254,-82.98940551718945,Entire home/apt,79,2,27,2018-11-24,2.21,1,113
23088699,VictorianVillage Tiny House in the City DISCOUNTS!,117004922,Nick And Sonja,,Near North/University,39.983083324090686,-83.01216173989063,Entire home/apt,75,1,70,2019-02-03,6.12,2,79
23089568,Franklinton Flat Upstairs,26958698,Benjamin,,Franklinton,39.9561200899428,-83.02803613550635,Entire home/apt,109,1,28,2019-01-27,2.27,26,39
23095630,GORGEOUS VICTORIAN VILLAGE COTTAGE,12270122,Keith,,Near North/University,39.987776617016614,-83.00915428167453,Entire home/apt,299,1,36,2019-01-24,3.02,1,236
23139886,Spacious 2nd floor room in great location!,145386310,Christine,,Near East,39.96824450571894,-82.96739301476688,Private room,30,1,72,2018-12-29,5.95,3,223
23171208,Modern private space near airport and city,23176550,Caleb,,Northeast,39.985339153681736,-82.93619113929711,Entire home/apt,80,1,165,2019-02-04,15.00,1,33
23238240,"The Franklinton Mansion. 4 BR, 2 BA, sleeps 16!",26958698,Benjamin,,Franklinton,39.95591660421027,-83.02615614626023,Entire home/apt,299,1,26,2019-02-02,2.38,26,65
23256796,Historic 1920’s Craftsman Home. Perfect location!,3638046,Amy,,Clintonville,40.039906371674114,-83.01911773812621,Entire home/apt,175,2,17,2019-01-27,1.62,1,101
23276785,Urban Retreat,138329748,Julia,,Near North/University,40.018220887582785,-83.00890637591857,Entire home/apt,95,1,78,2019-01-30,6.78,1,235
23290856,House on High Street,173394855,Michael,,Near North/University,39.99327976571501,-83.01324833437016,Shared room,50,1,2,2018-03-02,0.17,1,0
23319324,"Near OSU, Downtown, Short North, and more!",95733891,George,,Near North/University,40.01411535760145,-83.013644990144,Entire home/apt,103,1,62,2019-01-23,5.33,2,342
23325292,Short North One Bed w/Off-street Parking,71666929,August,,Near North/University,39.9833699083304,-83.0060940821475,Entire home/apt,85,1,131,2019-02-06,11.13,3,335
23355971,Olde Town East Charmer near Downtown!,17197649,Elaine,,Near East,39.96165818499151,-82.96087063525951,Private room,60,1,18,2018-11-26,1.57,1,360
23356786,Cozy Clintonville Cottage,96583592,Tricia,,Clintonville,40.073972637649,-83.01504989673924,Entire home/apt,89,1,39,2019-02-03,3.41,1,112
23371418,Olde Towne East/Children's Hospital Historic House,112151569,Brandon,,Near East,39.954758320636884,-82.9772481413572,Entire home/apt,140,1,16,2019-02-03,3.45,1,339
23379800,Newly Renovated Short North Guesthouse,28782068,Scott,,Near North/University,39.98347709796051,-83.00135183803332,Entire home/apt,57,2,58,2019-02-04,5.07,1,75
23399699,Private bed & bath in Hilliard,90709011,Pavla,,Far West,39.99530464887727,-83.16040817170145,Private room,40,2,9,2019-01-27,0.79,2,31
23408318,Finished basement,63923547,Joel,,Northland,40.088090176354136,-82.94354737638356,Private room,40,2,6,2018-10-03,0.68,1,90
23411204,♥ Charming Village Apartment ♥,171804983,Emily,,Rocky Fork-Blacklick,40.07671867312863,-82.89126053051946,Entire home/apt,76,1,9,2019-01-12,0.78,2,61
