id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29992243,Urban Apartment in Downtown Denver,225472493,Brandon & Dalila,,Union Station,39.7553,-105.0017,Entire home/apt,175,1,15,2019-02-13,5.62,1,255
29992563,Josephine House 4bd/2ba w/ backyard,4560998,Lily,,Elyria Swansea,39.78147,-104.95704,Entire home/apt,180,2,0,,,1,364
29992797,"Spacious, downtown penthouse apartment",33402948,Thomson,,Capitol Hill,39.73581,-104.98099,Private room,50,1,2,2019-01-01,1.09,1,0
29994543,Denver Townhouse,74730015,Matthew,,Five Points,39.75004,-104.97549,Entire home/apt,175,1,0,,,1,86
29997430,cozy Denver eco studio,97548213,Christi,,Five Points,39.75757,-104.98419,Entire home/apt,130,2,14,2019-02-03,4.77,1,0
29998790,Denver Cherry Creek 6500 sq' Affordable Luxury,222627717,Liz,,Cherry Creek,39.72226,-104.94673,Entire home/apt,470,3,2,2019-01-01,1.13,1,77
30007294,"Denver home w/ view of Capital, MileHi & Downtown",225561524,Dan,,Villa Park,39.72899,-105.03336,Entire home/apt,125,30,1,2018-12-21,0.50,1,179
30011181,New Central Modern RINO Paradise,7746441,Jorge,,Five Points,39.75776,-104.9862,Entire home/apt,120,1,3,2019-02-03,3,1,176
30012308,Lo-hi luxury stay with unique experiences,225594721,Carina,,Highland,39.7655,-105.00919,Entire home/apt,175,2,5,2019-02-13,2.88,1,144
30012391,Cozy and Clean: SE Denver 2 bdrm/1 full bath Condo,225595350,Tamara,,Hampden,39.67422,-104.87301,Entire home/apt,56,2,8,2019-02-11,5.00,1,2
30013066,2 Bedroom/2 Bath Near Colorado Boulevard and I-25,35287424,Sara,,Virginia Village,39.68076,-104.92177,Entire home/apt,90,2,11,2019-01-19,3.55,1,0
30017893,"Cozy Sunnyside home, easy walk to Denver hot spots",6942373,Mireille,,Sunnyside,39.77009,-105.00747,Entire home/apt,74,1,4,2019-02-15,4,1,10
30018665,Perfect TEN House Next to Tennyson in Denver!!,225637269,John,,Berkeley,39.77313,-105.03779,Entire home/apt,100,1,4,2019-01-01,2.07,4,155
30022731,★Sun Shine★ Room in Denver/Highlands/Berkeley,225637269,John,,Berkeley,39.7732,-105.03969,Private room,29,1,2,2019-01-11,0.76,4,39
30034575,avant-garde boho lohi,225733836,Galatea,,Highland,39.75949,-105.01681,Entire home/apt,148,1,5,2019-01-16,1.61,2,291
30038647,Wicker Park,49017723,Kasia,,Stapleton,39.79263,-104.8796,Entire home/apt,170,1,0,,,1,3
30038759,**GORGEOUS TOWNHOUSE WITH A STUNNING VIEW!**,68054026,Jamie,,West Colfax,39.74276,-105.04064,Entire home/apt,330,1,0,,,1,86
30041198,Private Room (Sleeps 4)  In Heart of Downtown,48873476,Hostel Fish,,Five Points,39.75383,-104.99261,Private room,160,1,2,2018-12-07,0.80,30,364
30047498,Brand new townhome in Jefferson Park!,97005312,Mike,,Jefferson Park,39.75775,-105.02289,Entire home/apt,42,1,6,2019-02-03,2.25,1,0
30061733,BEAUTIFUL CLEAN and MODERN in Trendy LoHi,61842916,Donna,,Highland,39.76692,-105.00802,Entire home/apt,225,3,0,,,1,0
30064241,Entire Top level duplex (Full Amenities),49246855,Sergio,,Villa Park,39.73305,-105.04476,Entire home/apt,72,2,2,2019-01-01,1.20,2,365
30068089,New condo in great location. Close to everything!,26425539,Andy,,Jefferson Park,39.75257,-105.0211,Entire home/apt,189,1,5,2019-02-03,1.58,1,13
